# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.45
2                       1.42
4                       1.44
8                       1.46
16                      1.34
32                      1.39
64                      1.53
128                     2.78
256                     3.09
512                     3.57
1024                    4.35
2048                    5.95
4096                    8.20
8192                   12.79
16384                  14.71
32768                  24.41
65536                  40.14
131072                 71.65
262144                135.63
524288                263.25
1048576               519.05
