# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.36
2                       1.36
4                       1.38
8                       1.41
16                      1.40
32                      1.43
64                      1.56
128                     2.82
256                     3.11
512                     3.62
1024                    4.39
2048                    6.06
4096                    8.34
8192                   12.87
16384                  15.12
32768                  23.87
65536                  39.63
131072                 70.10
262144                130.51
524288                253.37
1048576               496.81
