# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.45
2                       1.44
4                       1.44
8                       1.42
16                      1.43
32                      1.40
64                      1.48
128                     2.76
256                     3.10
512                     3.50
1024                    4.19
2048                    5.91
4096                    8.06
8192                   12.60
16384                  14.21
32768                  22.86
65536                  38.76
131072                 68.97
262144                129.61
524288                252.26
1048576               496.51
