# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       2.93
2                       2.92
4                       2.71
8                       2.53
16                      2.63
32                      2.81
64                      2.81
128                     3.28
256                     3.40
512                     3.90
1024                    4.69
2048                    5.82
4096                    7.81
8192                   12.28
16384                  26.27
32768                  43.41
65536                  75.07
131072                117.39
262144                202.39
524288                411.17
1048576              1129.71
