# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.44
2                       1.41
4                       1.38
8                       1.34
16                      1.35
32                      1.36
64                      1.50
128                     2.51
256                     2.86
512                     3.21
1024                    4.05
2048                    5.67
4096                    7.85
8192                   12.35
16384                  14.88
32768                  22.88
65536                  39.34
131072                 69.84
262144                130.64
524288                252.85
1048576               497.03
