# OSU MPI All-to-All Personalized Exchange Latency Test v4.4.1
# Size       Avg Latency(us)
1                       1.76
2                       1.76
4                       1.71
8                       1.68
16                      1.57
32                      1.62
64                      1.77
128                     2.77
256                     3.07
512                     3.46
1024                    4.26
2048                    5.88
4096                    8.10
8192                   12.60
16384                  15.65
32768                  24.29
65536                  40.23
131072                 70.43
262144                131.67
524288                253.49
1048576               497.92
